log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction
Log_SHR,Lab_XRF_Mg,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.47770887104494303), 'HRDH_697': np.float64(0.47489988892172397)}",-0.001404491,0.47630438,0.47630438,FALSE
Log_SLGN,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5513724146068458), 'HRDH_697': np.float64(-0.39623892449282566)}",0.077566745,0.47380567,0.47380567,FALSE
Log_LSN,Lab_XRF_Mg,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5629638722053362), 'HRDH_697': np.float64(-0.3741998698510235)}",-0.468581871,0.468581871,0.094382001,TRUE
Log_LSN,Lab_XRD_K-Feldspar,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': np.float64(-0.6560388713221974), 'HRDH_697': np.float64(0.27870230250934136)}",-0.188668284,0.467370587,0.467370587,FALSE
Log_SSN,Lab_XRD_Anatase,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(-0.1791679996964417), 'HRDH_1867': np.float64(-0.7545321712028292)}",-0.466850085,0.466850085,0.287682086,TRUE
Log_HRD1,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5681150277941815), 'HRDH_697': np.float64(0.3650287646811297)}",-0.101543132,0.466571896,0.466571896,FALSE
Log_ZCOR,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.4712302329149882), 'HRDH_1867': np.float64(-0.46048488223615885)}",0.005372675,0.465857558,0.465857558,FALSE
Log_SSN,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6896655106304956), 'HRDH_697': np.float64(0.24084709584542396)}",0.465256303,0.465256303,0.224409207,TRUE
Log_GR,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.7510949862237785), 'HRDH_697': np.float64(-0.17714716467247543)}",0.286973911,0.464121075,0.464121075,FALSE
Log_SLGN,Lab_XRF_P,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6013200334584023), 'HRDH_697': np.float64(0.32322996757772715)}",0.462275001,0.462275001,0.139045033,TRUE
Log_SSN,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.4242483452773059), 'HRDH_697': np.float64(-0.4998003956481656)}",-0.46202437,0.46202437,0.037776025,TRUE
Log_ZDEN,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.7189793520999715), 'HRDH_697': np.float64(0.1978938677616885)}",-0.260542742,0.45843661,0.45843661,FALSE
Log_ZDNC,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.7189220317772164), 'HRDH_697': np.float64(0.19790772295344633)}",-0.260507154,0.458414877,0.458414877,FALSE
Log_HRD1,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.8153190501620635), 'HRDH_697': np.float64(-0.1010996587697284)}",-0.458209354,0.458209354,0.357109696,TRUE
Log_ZCOR,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.4950212590659108), 'HRDH_697': np.float64(-0.4207426914934949)}",0.037139284,0.457881975,0.457881975,FALSE
Log_SSD,Lab_XRD_Anatase,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.2871379815560177), 'HRDH_1867': np.float64(-0.6279133465917255)}",-0.170387683,0.457525664,0.457525664,FALSE
Log_SSD,Lab_XRD_Chlorite,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': np.float64(-0.7850290471112311), 'HRDH_697': np.float64(0.11820331654898705)}",-0.333412865,0.451616182,0.451616182,FALSE
