log_var,lab_var,num_wells,avg_r,avg_abs_r,wells_found_in
Log_SHR,Lab_XRF_Ca,2,-0.11238074927607886,0.5425071644285675,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRF_Al,2,-0.5416591866576483,0.5416591866576483,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRD_Dickite,2,0.5401584795529044,0.5401584795529044,"['HRDH_1804', 'HRDH_1867']"
Log_PE,Lab_XRF_Ca,2,0.08935242350537848,0.5394952784095559,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_K,2,-0.14609272445634855,0.5375162182472506,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Al,2,-0.5351689009130947,0.5351689009130947,"['HRDH_1119', 'HRDH_697']"
Log_CNC,Lab_XRD_Anatase,2,0.5347626329312464,0.5347626329312464,"['HRDH_1804', 'HRDH_1867']"
Log_ZCOR,Lab_XRF_Sr,2,0.17697363256446694,0.5340683843455205,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRD_Chlorite,2,-0.5328491503079446,0.5328491503079446,"['HRDH_1867', 'HRDH_697']"
Log_LSN,Lab_XRF_Si,2,0.15216290423988849,0.5324991155208127,"['HRDH_1119', 'HRDH_697']"
Log_SFT2,Lab_XRD_Dickite,2,-0.05309206275009845,0.5313542476102102,"['HRDH_1804', 'HRDH_1867']"
Log_ZDNC,Lab_XRF_Sr,2,0.5309644277175629,0.5309644277175629,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_Sr,2,0.5309475777147106,0.5309475777147106,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRD_K-Feldspar,2,0.11793567294210577,0.5279866337834183,"['HRDH_1867', 'HRDH_697']"
Log_ZCOR,Lab_XRF_Si,2,-0.10806003768097505,0.5268647429348519,"['HRDH_1119', 'HRDH_697']"
Log_CNC,Lab_XRF_Mg,2,0.5264342396784568,0.5264342396784568,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRF_K,2,-0.5259986613751315,0.5259986613751315,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRD_Dickite,2,-0.04750390014395234,0.5255188420081597,"['HRDH_1804', 'HRDH_1867']"
Log_RUKC,Lab_XRD_Illite/Mica,2,-0.5253036878947367,0.5253036878947367,"['HRDH_1804', 'HRDH_1867']"
Log_CN,Lab_XRF_Mg,2,0.5228135894716914,0.5228135894716914,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_S,2,-0.5223096056950305,0.5223096056950305,"['HRDH_1119', 'HRDH_697']"
Log_GRSL,Lab_XRF_Ca,2,0.2286347256272123,0.5220249068469373,"['HRDH_1119', 'HRDH_697']"
