log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction,HRDH_1119_r,HRDH_1867_r,HRDH_1804_r,HRDH_697_r
Log_SSD,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5337645374466212, 'HRDH_697': 0.6614278107365714}",0.5975961740915963,0.5975961740915963,0.0638316366449751,True,0.5337645374466212,,,0.6614278107365714
Log_SSN,Lab_XRD_K-Feldspar,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': -0.6485907040308456, 'HRDH_697': 0.5397056675975175}",-0.05444251821666407,0.5941481858141815,0.5941481858141815,False,,-0.6485907040308456,,0.5397056675975175
Log_CAL,Lab_XRD_Illite/Mica,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.3779195936814943, 'HRDH_1867': -0.7994409886864713}",-0.2107606975024885,0.5886802911839828,0.5886802911839828,False,,-0.7994409886864713,0.3779195936814943,
Log_SSN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.46566518677775337, 'HRDH_697': -0.7072453879065906}",-0.586455287342172,0.586455287342172,0.12079010056441863,True,-0.46566518677775337,,,-0.7072453879065906
Log_CALX,Lab_XRD_Illite/Mica,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.37254635717904594, 'HRDH_1867': -0.7994409886864713}",-0.21344731575371267,0.5859936729327586,0.5859936729327586,False,,-0.7994409886864713,0.37254635717904594,
Log_SLGN,Lab_XRD_Quartz,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5749490954357395, 'HRDH_697': 0.5960694137467762}",0.5855092545912579,0.5855092545912579,0.01056015915551839,True,0.5749490954357395,,,0.5960694137467762
Log_SHR,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.3765004614240978, 'HRDH_697': -0.7921422355145247}",-0.5843213484693113,0.5843213484693113,0.20782088704521343,True,-0.3765004614240978,,,-0.7921422355145247
Log_SFT2,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5597419059862517, 'HRDH_697': 0.6082450748148788}",0.5839934904005653,0.5839934904005653,0.02425158441431352,True,0.5597419059862517,,,0.6082450748148788
Log_SFT2,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6052142696398239, 'HRDH_697': 0.5593690653571418}",0.5822916674984828,0.5822916674984828,0.022922602141341064,True,0.6052142696398239,,,0.5593690653571418
Log_SLGN,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6290273265690299, 'HRDH_697': -0.5296941830213311}",0.04966657177384942,0.5793607547951805,0.5793607547951805,False,0.6290273265690299,,,-0.5296941830213311
Log_SSD,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.4745692139471996, 'HRDH_1867': -0.6811652600546738}",-0.10329802305373711,0.5778672370009367,0.5778672370009367,False,,-0.6811652600546738,0.4745692139471996,
Log_SLTM,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.49704439866746214, 'HRDH_697': 0.6564296360130843}",0.5767370173402733,0.5767370173402733,0.0796926186728111,True,0.49704439866746214,,,0.6564296360130843
Log_SLGN,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.675954167605568, 'HRDH_697': -0.4750096619072153}",-0.5754819147563917,0.5754819147563917,0.10047225284917638,True,-0.675954167605568,,,-0.4750096619072153
Log_HRD1,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5143110625805154, 'HRDH_697': 0.6337528174475778}",0.5740319400140466,0.5740319400140466,0.059720877433531216,True,0.5143110625805154,,,0.6337528174475778
Log_GR,Lab_XRD_Chlorite,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': 0.7316138206518183, 'HRDH_697': -0.41005096084131243}",0.16078142990525296,0.5708323907465653,0.5708323907465653,False,,0.7316138206518183,,-0.41005096084131243
Log_HRD1,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.45954993464034743, 'HRDH_697': 0.6770293431501995}",0.5682896388952734,0.5682896388952734,0.10873970425492602,True,0.45954993464034743,,,0.6770293431501995
Log_SFT2,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.579502412996502, 'HRDH_697': 0.5565113203878188}",0.5680068666921604,0.5680068666921604,0.011495546304341575,True,0.579502412996502,,,0.5565113203878188
Log_GRSL,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.74340171032811, 'HRDH_697': -0.38700860479612725}",-0.5652051575621186,0.5652051575621186,0.17819655276599136,True,-0.74340171032811,,,-0.38700860479612725
Log_K,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.4213587696235981, 'HRDH_697': 0.7060539735084259}",0.563706371566012,0.563706371566012,0.14234760194241391,True,0.4213587696235981,,,0.7060539735084259
Log_HRD2,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.8396113540983451, 'HRDH_697': -0.28313452426548014}",-0.5613729391819127,0.5613729391819127,0.2782384149164325,True,-0.8396113540983451,,,-0.28313452426548014
Log_SSD,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.5610328511613193, 'HRDH_697': 0.559947411472023}",-0.000542719844648154,0.5604901313166711,0.5604901313166711,False,-0.5610328511613193,,,0.559947411472023
Log_SSN,Lab_XRD_Chlorite,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': -0.567227368419261, 'HRDH_697': 0.5397056675975175}",-0.013760850410871772,0.5534665180083893,0.5534665180083893,False,,-0.567227368419261,,0.5397056675975175
Log_SLGN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.3194513927699268, 'HRDH_697': -0.7871563620939801}",-0.23385248466202666,0.5533038774319534,0.5533038774319534,False,0.3194513927699268,,,-0.7871563620939801
Log_HRD1,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.526589600309644, 'HRDH_697': -0.5752304459585016}",-0.02432042282442881,0.5509100231340728,0.5509100231340728,False,0.526589600309644,,,-0.5752304459585016
Log_GR,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.7441841764091105, 'HRDH_697': -0.3547389783630577}",-0.549461577386084,0.549461577386084,0.1947225990230264,True,-0.7441841764091105,,,-0.3547389783630577
Log_K,Lab_XRD_Quartz,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.47907661649920064, 'HRDH_697': -0.6167328043666634}",-0.0688280939337314,0.547904710432932,0.547904710432932,False,0.47907661649920064,,,-0.6167328043666634
Log_ZDNC,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.8471681334073924, 'HRDH_697': 0.2462319924253004}",0.5467000629163464,0.5467000629163464,0.300468070491046,True,0.8471681334073924,,,0.2462319924253004
Log_ZDEN,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.8470833801088151, 'HRDH_697': 0.2462349830427426}",0.5466591815757789,0.5466591815757789,0.30042419853303626,True,0.8470833801088151,,,0.2462349830427426
Log_CN,Lab_XRD_Anatase,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.171997242490853, 'HRDH_1867': 0.918151626404547}",0.5450744344477,0.5450744344477,0.37307719195684697,True,,0.918151626404547,0.171997242490853,
Log_RUKC,Lab_XRD_Quartz,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.4315879157701076, 'HRDH_1867': 0.6559345628354332}",0.5437612393027704,0.5437612393027704,0.1121733235326628,True,,0.6559345628354332,0.4315879157701076,
Log_SHR,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.860951116085659, 'HRDH_697': 0.2256719442867019}",0.5433115301861804,0.5433115301861804,0.31763958589947855,True,0.860951116085659,,,0.2256719442867019
Log_RTHU,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.3235896890481484, 'HRDH_697': -0.7625389685411443}",-0.21947463974649797,0.5430643287946464,0.5430643287946464,False,0.3235896890481484,,,-0.7625389685411443
Log_SFT2,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.5423447406737449, 'HRDH_697': 0.5429860701746091}",0.0003206647504320759,0.5426654054241771,0.5426654054241771,False,-0.5423447406737449,,,0.5429860701746091
Log_SHR,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.6548879137046462, 'HRDH_697': 0.4301264151524887}",-0.11238074927607875,0.5425071644285674,0.5425071644285674,False,-0.6548879137046462,,,0.4301264151524887
Log_SSN,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.3533518939285309, 'HRDH_697': -0.7299664793867657}",-0.5416591866576483,0.5416591866576483,0.1883072927291174,True,-0.3533518939285309,,,-0.7299664793867657
Log_GR,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.40461008826321665, 'HRDH_1867': 0.6757068708425924}",0.5401584795529045,0.5401584795529045,0.13554839128968788,True,,0.6757068708425924,0.40461008826321665,
Log_PE,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6288477019149342, 'HRDH_697': -0.4501428549041774}",0.08935242350537842,0.5394952784095558,0.5394952784095558,False,0.6288477019149342,,,-0.4501428549041774
Log_PE,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.3914234937909021, 'HRDH_697': -0.6836089427035992}",-0.14609272445634855,0.5375162182472506,0.5375162182472506,False,0.3914234937909021,,,-0.6836089427035992
Log_LSN,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.37073940987902154, 'HRDH_697': -0.6995983919471678}",-0.5351689009130947,0.5351689009130947,0.16442949103407312,True,-0.37073940987902154,,,-0.6995983919471678
